INSTRUMENT TYPE ,SYMBOL ,EXPIRY DATE ,OPTION TYPE ,STRIKE PRICE ,LAST PRICE ,CHNG ,%CHNG ,VOLUME (Contracts),VALUE ,OPEN INTEREST ,UNDERLYING VALUE 
Index Options,NIFTY,26-Mar-20,Put,"9,500.00",412.85,341.8,481.07,134151,"2,49,20,38,575.00",26551,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"10,000.00",173,-419.75,-70.81,104259,"1,75,29,58,614.00",28439,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"9,000.00",242,207.3,597.41,95859,"95,66,65,636.50",24856,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"10,000.00",670,522.85,355.32,89133,"2,78,43,73,528.50",35258,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"10,500.00",56.05,-193.5,-77.54,79166,"41,12,34,264.00",17384,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"11,000.00",15.9,-46.7,-74.6,73151,"10,48,69,027.50",23714,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"10,000.00",112.35,-420.05,-78.9,64617,"73,17,70,971.75",8544,"9,530.40"
Index Options,NIFTY,19-Mar-20,Put,"9,500.00",329.4,297.15,921.4,49133,"76,79,76,888.00",5857,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"9,700.00",503.25,409.55,437.09,45762,"1,12,62,43,573.50",3832,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"10,500.00",24.1,-162.7,-87.1,44944,"10,11,81,386.25",7986,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"9,800.00",558.9,450.5,415.59,44715,"1,18,92,03,147.00",5948,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"10,400.00",70.75,-237.95,-77.08,41587,"27,83,43,479.25",7541,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"10,200.00",63.85,-319.15,-83.33,41429,"26,47,38,180.00",4696,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"9,300.00",332.8,279.65,526.15,40139,"64,93,47,179.25",7149,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"8,500.00",139,115.7,496.57,38754,"24,21,36,660.00",8918,"9,530.40"
Index Options,NIFTY,19-Mar-20,Put,"9,000.00",177.85,164.8,"1,262.84",36775,"30,15,14,024.25",6496,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"10,300.00",46.8,-267.6,-85.11,35429,"16,50,13,020.00",6497,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"10,600.00",42.65,-154,-78.31,35269,"13,80,86,289.00",6957,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"10,100.00",83.15,-396.85,-82.68,33192,"27,55,00,764.00",7284,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"9,600.00",455.55,374.4,461.37,33016,"72,96,13,080.00",2920,"9,530.40"
Index Options,NIFTY,19-Mar-20,Put,"9,800.00",476,415.35,684.83,32789,"71,22,14,592.00",3026,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"10,800.00",25.95,-86.7,-76.96,32099,"7,32,67,800.00",8995,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"9,400.00",373.9,311.4,498.24,31645,"57,75,18,710.25",3160,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"10,200.00",113.2,-331.75,-74.56,31624,"34,96,98,858.75",4642,"9,530.40"
Index Options,NIFTY,19-Mar-20,Put,"9,700.00",420.45,369.35,722.8,31603,"64,24,11,705.00",2793,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"10,300.00",90,-283.75,-75.92,31547,"27,15,54,288.75",4844,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"10,600.00",16.3,-117.75,-87.84,30935,"4,55,12,957.25",5497,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"9,900.00",609.2,481.9,378.55,30642,"88,71,84,877.50",5499,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"10,700.00",33.9,-117.45,-77.6,28656,"8,53,37,703.75",8359,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"11,000.00",5.6,-17.1,-75.33,28533,"1,16,31,467.25",8925,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"10,700.00",11,-80.45,-87.97,28235,"2,78,97,105.00",5681,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"10,400.00",33.8,-217.45,-86.55,28087,"9,28,37,225.25",4168,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"9,800.00",256.05,-494.15,-65.87,28070,"61,49,61,300.00",3489,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"9,900.00",210.95,-456.5,-68.39,27853,"54,21,32,662.50",2847,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"10,100.00",141,-376.05,-72.73,26946,"37,86,32,583.75",3002,"9,530.40"
Index Options,NIFTY,19-Mar-20,Put,"10,000.00",600,510.65,571.52,26626,"68,40,58,027.50",4645,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"9,200.00",299.05,252.65,544.5,25608,"34,37,08,153.50",3241,"9,530.40"
Index Options,NIFTY,19-Mar-20,Put,"9,600.00",370,331.8,868.59,25223,"47,23,39,599.00",2548,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"9,800.00",185,"-1,243.50",-87.05,24891,"41,69,28,690.00",3192,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"10,900.00",21.05,-62.85,-74.91,24795,"4,48,27,389.00",8636,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"11,000.00","1,500.60",890.1,145.8,23689,"2,21,13,92,767.50",34578,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"9,700.00",301.7,-536.45,-64,23339,"58,56,88,669.50",3170,"9,530.40"
Index Options,NIFTY,26-Mar-20,Put,"10,500.00","1,055.00",753.55,249.98,23006,"1,30,38,52,755.00",24178,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"11,500.00",7.35,-5.6,-43.24,22740,"1,38,94,983.00",22495,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"10,800.00",7.95,-52.85,-86.92,21948,"1,49,62,779.00",5582,"9,530.40"
Index Options,NIFTY,19-Mar-20,Call,"9,900.00",145.5,"-1,183.30",-89.05,21099,"30,17,25,033.75",2211,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"11,100.00",13.1,-32.3,-71.15,20054,"2,32,78,122.00",6643,"9,530.40"
Index Options,NIFTY,19-Mar-20,Put,"9,900.00",536.55,464.8,647.8,19238,"44,82,61,087.50",1199,"9,530.40"
Index Options,NIFTY,26-Mar-20,Call,"11,200.00",11.75,-20.35,-63.4,18734,"1,80,93,186.75",11117,"9,530.40"
